,Fitness,Location,Maxima
0000000000,0.905791979673,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.848012169336,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.758559091504,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.911978957099,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.946487040013,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.753362134232,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.941524185866,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.765925932169,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.826254638395,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.956765054489,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,0.940220789733,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.767662819689,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.867283218074,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.984606290714,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.832929281613,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,1.1332496945,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,1.1147805561,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,1.04685719585,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.997436585422,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.932100595884,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,1.05958249492,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,0.991715171176,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,1.03854907815,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.851555780322,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,1.22076457742,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,1.17617413317,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,1.00132077502,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.854745744303,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,1.2201892227,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,1.02925203277,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.971902198089,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
