,Fitness,Location,Maxima
0000000000,0.632376055637,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.698029374937,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",1
0000000010,0.552513326345,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.484016953349,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.58708311638,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.623468262383,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.496462051509,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.517542213598,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.525961876011,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,0.57521619943,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,0.501864451682,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.406382530298,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.558028932388,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.633237456938,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",1
0000001110,0.557466466814,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.586161985959,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.540351902999,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.606005222299,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.559919373549,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.491423000553,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.44861589797,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,0.485001043973,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.417083895427,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.438164057516,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.466900330727,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.516154654146,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.554849022535,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.45936710115,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.513779492158,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.588988016707,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.475294518915,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.50399003806,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,0.55655213244,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.62220545174,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,0.476689403148,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,0.408193030152,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,0.471113980281,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,0.507499126284,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,0.380492915411,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",0
0000100111,0.4015730775,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,0.536555536026,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,0.585809859445,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,0.512458111697,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
0000101011,0.416976190313,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,0.526144855984,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",0
0000101101,0.601353380534,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,0.52558239041,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",0
0000101111,0.554277909555,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",0
0000110000,0.519092470731,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",0
0000110001,0.584745790031,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",0
0000110010,0.538659941281,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 0)",0
0000110011,0.470163568285,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 1)",0
0000110100,0.527855209407,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 0)",0
0000110101,0.56424035541,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 1)",0
0000110110,0.496323206864,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 0)",0
0000110111,0.517403368953,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 1)",0
0000111000,0.415837420763,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 0)",0
0000111001,0.465091744182,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 1)",0
0000111010,0.503786112571,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 0)",0
0000111011,0.408304191186,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 1)",0
0000111100,0.507732728595,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 0)",0
0000111101,0.582941253144,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 1)",0
0000111110,0.469247755352,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 0)",0
0000111111,0.497943274497,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 1)",0
0001000000,0.603966044169,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",0
0001000001,0.669619363469,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 1)",0
0001000010,0.524103314877,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 0)",0
0001000011,0.455606941881,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 1)",0
0001000100,0.558673104912,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 0)",0
0001000101,0.595058250915,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 1)",0
0001000110,0.468052040041,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 0)",0
0001000111,0.48913220213,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 1)",0
0001001000,0.520705177068,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0)",0
0001001001,0.569959500487,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 1)",0
0001001010,0.496607752738,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 0)",0
0001001011,0.401125831354,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 1)",0
0001001100,0.552772233444,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 0)",0
0001001101,0.627980757994,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 1)",0
0001001110,0.552209767871,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 0)",0
0001001111,0.580905287015,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 1)",0
0001010000,0.559814804836,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 0)",0
0001010001,0.625468124137,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 1)",0
0001010010,0.579382275387,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 0)",0
0001010011,0.51088590239,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 1)",0
0001010100,0.468078799808,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 0)",0
0001010101,0.504463945811,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 1)",0
0001010110,0.436546797265,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 0)",0
0001010111,0.457626959354,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 1)",0
0001011000,0.477588431685,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 0)",0
0001011001,0.526842755104,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 1)",0
0001011010,0.565537123492,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 0)",0
0001011011,0.470055202108,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 1)",0
