,Fitness,Location,Maxima
0000000000,1.0791310190190333,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,1.0905572480793535,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,1.1665046109143107,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,1.1287835724939188,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,1.1720054529878028,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,1.1581517474311434,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,1.2158699867163891,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,1.0685643123357036,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,1.1273699804839674,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,1.0723870317025221,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,1.254882479483338,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,1.1415216749106674,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,1.2458536132799893,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,1.2272089053366595,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,1.123615025677081,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,0.9883469031413089,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,1.1943715718646066,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,1.006596508623518,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,1.1194032040828437,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,1.031129132829328,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,1.3970693025096426,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",1
0000010101,1.0163221548232826,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,1.2464179769329364,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,1.1526744929395645,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,1.0696591039674173,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,1.1700442478594997,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,1.0520491791168796,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.9873741353030645,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,1.1221703502562064,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,1.0868467140828635,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.8452291647787464,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,1.007250764485998,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,1.2134768589608007,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.9837891922948979,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,1.1453451843299578,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,0.9483595420466258,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,1.1814321197204203,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,1.1121999071418585,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,1.2985318365785514,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",1
0000100111,1.0822570851141748,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,1.1690580456520248,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,1.0688125945245517,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,1.3119265309538912,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",1
0000101011,0.9004619142971048,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,1.3427237407909214,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",1
0000101101,1.028864862466563,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,1.059643156972137,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",0
0000101111,1.2355124846558052,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",1
0000110000,1.146160058388678,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",0
0000110001,1.0276614235269357,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",0
0000110010,1.1781429959035714,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 0)",1
0000110011,1.0785899359963662,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 1)",0
0000110100,1.0297792996197561,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 0)",0
0000110101,0.9745836130266923,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 1)",0
0000110110,1.074753435995244,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 0)",0
0000110111,0.9993202425038975,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 1)",0
0000111000,1.0223644822220435,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 0)",0
0000111001,1.028840514736096,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 1)",0
0000111010,1.111233393319549,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 0)",0
0000111011,1.054732538768037,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 1)",0
0000111100,1.1041121485801058,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 0)",0
0000111101,1.092055528584309,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 1)",0
0000111110,1.2232385007332895,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 0)",1
0000111111,1.2183644324939058,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 1)",0
0001000000,0.964513251676504,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",0
0001000001,0.9983255233958599,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 1)",0
0001000010,1.0658725555527035,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 0)",0
0001000011,0.8868274152801076,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 1)",0
0001000100,1.2219955158337135,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 0)",1
0001000101,0.9351215948118488,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 1)",0
0001000110,0.9954213800139013,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 0)",0
0001000111,1.070212592847772,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 1)",0
0001001000,1.1373565317528376,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0)",0
0001001001,0.941069080671756,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 1)",0
0001001010,0.9906965865346362,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 0)",0
0001001011,0.8615438782697282,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 1)",0
0001001100,1.1751791667173064,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 0)",0
0001001101,1.0599952547962648,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 1)",0
0001001110,0.9979635729493792,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 0)",0
0001001111,1.0553626032332513,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 1)",0
0001010000,1.017888374909692,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 0)",0
0001010001,1.0975960860476608,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 1)",0
0001010010,1.0749025103795726,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 0)",0
0001010011,1.0186268363442563,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 1)",0
0001010100,1.0348350531378383,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 0)",0
0001010101,0.9795684831005975,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 1)",0
0001010110,1.0417799191934154,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 0)",0
0001010111,0.926705731965247,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 1)",0
0001011000,1.1529350599299777,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 0)",0
0001011001,0.9449443214742439,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 1)",0
0001011010,1.192009031285095,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 0)",0
0001011011,1.0635462435549332,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 1)",0
0001011100,1.0347847337586211,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 0)",0
0001011101,0.9606475938082546,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 1)",0
0001011110,1.0660818435773747,"(0, 0, 0, 1, 0, 1, 1, 1, 1, 0)",0
0001011111,0.8999613888888931,"(0, 0, 0, 1, 0, 1, 1, 1, 1, 1)",0
