,Fitness,Location,Maxima
0000000000,0.5516357342902353,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,0.6402738320313114,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",1
0000000010,0.5162290090586918,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,0.39465842656354516,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.5087294700736226,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,0.608435153188658,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.5732581866954355,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,0.5537262868318661,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.5670320275348061,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",1
0000001001,0.46875720442435515,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,0.5362907489261646,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.5523452341011186,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.49838650627406345,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.5126974369460731,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.609058878285391,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",1
0000001111,0.43393549332281234,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.44962053274334873,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,0.46980642873696377,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.39122651286607907,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,0.41153805232623125,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.5436604198045705,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,0.47703783031179137,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.47555607834842684,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,0.47287346457403157,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.3959555633026238,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.5136796854062086,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.5118284135779934,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.5244483095813637,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.36215057463167283,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.33398042369044256,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.5638502199070938,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,0.4482873843870509,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,0.39021554838481837,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.5167612693338046,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,0.48037685532800395,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",0
0000100011,0.5210853600891683,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,0.6188553756849599,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,0.43202064383669975,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,0.6374362922951342,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",1
0000100111,0.20874031450136057,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,0.4723651777740227,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,0.6429045120344211,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,0.49544919389234054,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
0000101011,0.4721802326017596,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,0.30805232124357323,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",0
0000101101,0.537253352638355,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,0.45619194014651737,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",0
0000101111,0.5500095589340797,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",0
0000110000,0.4879749797425905,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",0
0000110001,0.34799249263933685,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",0
0000110010,0.45214103965211805,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 0)",0
0000110011,0.44976632927963917,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 1)",0
0000110100,0.45383655186313243,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 0)",0
0000110101,0.4004054964196465,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 1)",0
0000110110,0.5508974334408245,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 0)",0
0000110111,0.3314188510697006,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 1)",0
0000111000,0.3259745189829424,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 0)",0
0000111001,0.6638122187086138,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 1)",1
0000111010,0.44272156724187395,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 0)",0
0000111011,0.6158024438610448,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 1)",0
0000111100,0.5774126277622451,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 0)",1
0000111101,0.4113070584302201,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 1)",0
0000111110,0.4356385836583966,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 0)",0
0000111111,0.5817752489222789,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 1)",0
0001000000,0.5307211544139783,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",0
0001000001,0.4195640049141402,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 1)",0
0001000010,0.4771551927706354,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 0)",0
0001000011,0.6894633290396616,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 1)",0
0001000100,0.5291776142132125,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 0)",0
0001000101,0.4338041391327708,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 1)",0
0001000110,0.5235806857530217,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 0)",0
0001000111,0.6122078463094749,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 1)",0
0001001000,0.5453204918776352,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0)",0
0001001001,0.4875741506171242,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 1)",0
0001001010,0.5093274452904272,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 0)",0
0001001011,0.7194412664535895,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 1)",1
0001001100,0.5425597488965566,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 0)",0
0001001101,0.4131633284807161,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 1)",0
0001001110,0.44085729244321464,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 0)",0
0001001111,0.4295995228488102,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 1)",0
0001010000,0.5273910675285823,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 0)",0
0001010001,0.5393975814796683,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 1)",0
0001010010,0.5825282672923342,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 0)",0
0001010011,0.3997569995655209,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 1)",0
0001010100,0.41844806366926324,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 0)",0
0001010101,0.5740492157646301,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 1)",0
0001010110,0.7812137050413752,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 0)",1
0001010111,0.4625525825336149,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 1)",0
0001011000,0.6257448711186896,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 0)",1
0001011001,0.6077886298760692,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 1)",0
0001011010,0.3605743970537256,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 0)",0
0001011011,0.36958609346907123,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 1)",0
0001011100,0.5426957515228151,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 0)",0
0001011101,0.48684310204968745,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 1)",0
0001011110,0.46734176628590446,"(0, 0, 0, 1, 0, 1, 1, 1, 1, 0)",0
0001011111,0.5552598967406837,"(0, 0, 0, 1, 0, 1, 1, 1, 1, 1)",0
0001100000,0.43312554440435785,"(0, 0, 0, 1, 1, 0, 0, 0, 0, 0)",0
0001100001,0.64749945886196,"(0, 0, 0, 1, 1, 0, 0, 0, 0, 1)",1
0001100010,0.42009924861928444,"(0, 0, 0, 1, 1, 0, 0, 0, 1, 0)",0
0001100011,0.41577574530823397,"(0, 0, 0, 1, 1, 0, 0, 0, 1, 1)",0
0001100100,0.46542216520078866,"(0, 0, 0, 1, 1, 0, 0, 1, 0, 0)",0
0001100101,0.614261777543794,"(0, 0, 0, 1, 1, 0, 0, 1, 0, 1)",0
0001100110,0.2906245340151693,"(0, 0, 0, 1, 1, 0, 0, 1, 1, 0)",0
0001100111,0.6094545423908015,"(0, 0, 0, 1, 1, 0, 0, 1, 1, 1)",0
0001101000,0.5372963549198246,"(0, 0, 0, 1, 1, 0, 1, 0, 0, 0)",0
0001101001,0.5233206708446565,"(0, 0, 0, 1, 1, 0, 1, 0, 0, 1)",0
0001101010,0.583520046927228,"(0, 0, 0, 1, 1, 0, 1, 0, 1, 0)",0
0001101011,0.5671299469944732,"(0, 0, 0, 1, 1, 0, 1, 0, 1, 1)",0
0001101100,0.46295235421049563,"(0, 0, 0, 1, 1, 0, 1, 1, 0, 0)",0
0001101101,0.6148033560615691,"(0, 0, 0, 1, 1, 0, 1, 1, 0, 1)",1
0001101110,0.4698257087765989,"(0, 0, 0, 1, 1, 0, 1, 1, 1, 0)",0
0001101111,0.39778905636049056,"(0, 0, 0, 1, 1, 0, 1, 1, 1, 1)",0
0001110000,0.40256537955895383,"(0, 0, 0, 1, 1, 1, 0, 0, 0, 0)",0
0001110001,0.4393209866573932,"(0, 0, 0, 1, 1, 1, 0, 0, 0, 1)",0
0001110010,0.4148188472135784,"(0, 0, 0, 1, 1, 1, 0, 0, 1, 0)",0
0001110011,0.6886800366299545,"(0, 0, 0, 1, 1, 1, 0, 0, 1, 1)",1
0001110100,0.5947699579536031,"(0, 0, 0, 1, 1, 1, 0, 1, 0, 0)",0
0001110101,0.5531173140731223,"(0, 0, 0, 1, 1, 1, 0, 1, 0, 1)",0
0001110110,0.6158685245423328,"(0, 0, 0, 1, 1, 1, 0, 1, 1, 0)",0
0001110111,0.46635322685074776,"(0, 0, 0, 1, 1, 1, 0, 1, 1, 1)",0
0001111000,0.2887888523138954,"(0, 0, 0, 1, 1, 1, 1, 0, 0, 0)",0
0001111001,0.40905476278391745,"(0, 0, 0, 1, 1, 1, 1, 0, 0, 1)",0
0001111010,0.5150148173186266,"(0, 0, 0, 1, 1, 1, 1, 0, 1, 0)",0
0001111011,0.3113790677967968,"(0, 0, 0, 1, 1, 1, 1, 0, 1, 1)",0
0001111100,0.5403964716237095,"(0, 0, 0, 1, 1, 1, 1, 1, 0, 0)",0
0001111101,0.5189906471332806,"(0, 0, 0, 1, 1, 1, 1, 1, 0, 1)",0
0001111110,0.42507243438935627,"(0, 0, 0, 1, 1, 1, 1, 1, 1, 0)",0
0001111111,0.3106778266089246,"(0, 0, 0, 1, 1, 1, 1, 1, 1, 1)",0
0010000000,0.7072206946347092,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0)",1
0010000001,0.5363935228223816,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 1)",0
0010000010,0.5140926393985309,"(0, 0, 1, 0, 0, 0, 0, 0, 1, 0)",0
0010000011,0.47315139102488174,"(0, 0, 1, 0, 0, 0, 0, 0, 1, 1)",0
0010000100,0.5587008020657497,"(0, 0, 1, 0, 0, 0, 0, 1, 0, 0)",0
