,Fitness,Location,Maxima
0000000000,0.81013438482,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0
0000000001,1.02815799066,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",0
0000000010,0.965629502611,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0
0000000011,1.05767372861,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",0
0000000100,0.973162645537,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0
0000000101,1.05078070489,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0
0000000110,0.809855027155,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",0
0000000111,1.12337947064,"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",0
0000001000,0.976197306894,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",0
0000001001,1.08396674385,"(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",0
0000001010,0.953826591724,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 0)",0
0000001011,0.97749296741,"(0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",0
0000001100,0.786286341922,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0
0000001101,0.986820625347,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1)",0
0000001110,0.848503397859,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",0
0000001111,1.0380830085,"(0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",0
0000010000,0.819370336478,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0
0000010001,1.03129049783,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 1)",0
0000010010,0.833763957451,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0
0000010011,1.0500022945,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",0
0000010100,0.99139740944,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",0
0000010101,1.11019755322,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1)",0
0000010110,0.819790221151,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",0
0000010111,1.0258033518,"(0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",0
0000011000,0.666554006134,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",0
0000011001,0.802330772306,"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1)",0
0000011010,0.958603130086,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0)",0
0000011011,0.879497611037,"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",0
0000011100,0.853979620038,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0)",0
0000011101,0.932817707188,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",0
0000011110,0.692434517455,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 0)",0
0000011111,1.12622729443,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",0
0000100000,0.934828960866,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",0
0000100001,0.882430505254,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",0
0000100010,1.03694553776,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",1
0000100011,0.948923444862,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",0
0000100100,0.975728317369,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0
0000100101,1.08998737399,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",0
0000100110,0.99765030159,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",0
0000100111,0.953007732558,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",0
0000101000,0.894202554597,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",0
0000101001,1.02778617243,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",0
0000101010,0.873916019924,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",0
0000101011,1.06646772251,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",0
0000101100,0.99893936021,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",0
0000101101,1.07200771793,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",0
0000101110,0.86229603944,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",0
0000101111,1.23740142102,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",0
0000110000,0.793371449381,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",0
0000110001,1.12975291041,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",1
0000110010,0.840176097184,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 0)",0
0000110011,1.01094001028,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 1)",0
0000110100,0.915007360702,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 0)",0
0000110101,1.10413544463,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 1)",0
0000110110,0.973297098131,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 0)",0
0000110111,1.15620670878,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 1)",0
0000111000,1.01766768691,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 0)",1
0000111001,0.966717147309,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 1)",0
0000111010,0.832370127641,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 0)",0
0000111011,1.11628473951,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 1)",0
0000111100,0.948262318078,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 0)",0
0000111101,1.05550326189,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 1)",0
0000111110,0.941569821335,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 0)",0
0000111111,1.26185467672,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 1)",0
0001000000,1.01237678487,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",0
0001000001,1.11741521803,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 1)",0
0001000010,0.990050763055,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 0)",0
0001000011,1.18597696858,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 1)",1
0001000100,0.903105797233,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 0)",0
0001000101,1.34847563855,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 1)",1
0001000110,1.07200086122,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 0)",0
0001000111,1.14703557168,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 1)",0
0001001000,1.07059163785,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0)",0
0001001001,1.33080101765,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 1)",1
0001001010,1.03287133261,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 0)",0
0001001011,1.16404877281,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 1)",0
0001001100,0.951970528268,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 0)",0
0001001101,1.18742589011,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 1)",0
0001001110,1.0842959797,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 0)",0
0001001111,1.29820745517,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 1)",0
0001010000,1.03363290758,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 0)",0
0001010001,1.27519422279,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 1)",0
0001010010,0.950157309975,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 0)",0
0001010011,1.14543197523,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 1)",0
0001010100,1.06084652366,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 0)",0
0001010101,1.2027100236,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 1)",0
0001010110,0.929727059384,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 0)",0
0001010111,1.16319874268,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 1)",0
0001011000,0.98040715011,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 0)",0
0001011001,1.28960310022,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 1)",0
0001011010,1.14636515043,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 0)",0
0001011011,1.16701585609,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 1)",0
0001011100,1.02351189535,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 0)",0
0001011101,1.28265892787,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 1)",0
0001011110,1.16690264719,"(0, 0, 0, 1, 0, 1, 1, 1, 1, 0)",0
0001011111,1.35960798216,"(0, 0, 0, 1, 0, 1, 1, 1, 1, 1)",1
0001100000,0.95019679857,"(0, 0, 0, 1, 1, 0, 0, 0, 0, 0)",0
0001100001,1.15951714624,"(0, 0, 0, 1, 1, 0, 0, 0, 0, 1)",0
0001100010,0.884621752881,"(0, 0, 0, 1, 1, 0, 0, 0, 1, 0)",0
0001100011,1.08927127399,"(0, 0, 0, 1, 1, 0, 0, 0, 1, 1)",0
0001100100,1.02360661696,"(0, 0, 0, 1, 1, 0, 0, 1, 0, 0)",0
0001100101,1.28495185053,"(0, 0, 0, 1, 1, 0, 0, 1, 0, 1)",0
0001100110,0.802551475297,"(0, 0, 0, 1, 1, 0, 0, 1, 1, 0)",0
0001100111,1.23929256475,"(0, 0, 0, 1, 1, 0, 0, 1, 1, 1)",0
0001101000,0.875113667373,"(0, 0, 0, 1, 1, 0, 1, 0, 0, 0)",0
0001101001,1.13560515097,"(0, 0, 0, 1, 1, 0, 1, 0, 0, 1)",0
0001101010,0.858115751906,"(0, 0, 0, 1, 1, 0, 1, 0, 1, 0)",0
0001101011,1.18040247779,"(0, 0, 0, 1, 1, 0, 1, 0, 1, 1)",1
0001101100,1.10766488573,"(0, 0, 0, 1, 1, 0, 1, 1, 0, 0)",0
0001101101,1.18552753307,"(0, 0, 0, 1, 1, 0, 1, 1, 0, 1)",0
0001101110,1.02541742766,"(0, 0, 0, 1, 1, 0, 1, 1, 1, 0)",0
0001101111,0.932010229137,"(0, 0, 0, 1, 1, 0, 1, 1, 1, 1)",0
0001110000,0.858357794669,"(0, 0, 0, 1, 1, 1, 0, 0, 0, 0)",0
0001110001,0.895857029064,"(0, 0, 0, 1, 1, 1, 0, 0, 0, 1)",0
