Team_A,"['J.R. Smith', 'Kyrie Irving', 'LeBron James', 'Richard Jefferson', 'Tristan Thompson']","['J.R. Smith', 'Kevin Love', 'Kyrie Irving', 'LeBron James', 'Richard Jefferson']","['Iman Shumpert', 'J.R. Smith', 'Kevin Love', 'Kyrie Irving', 'LeBron James']","['Iman Shumpert', 'J.R. Smith', 'Kevin Love', 'Kyrie Irving', 'Tristan Thompson']","['Iman Shumpert', 'J.R. Smith', 'Matthew Dellavedova', 'Richard Jefferson', 'Tristan Thompson']","['Channing Frye', 'Iman Shumpert', 'Kevin Love', 'LeBron James', 'Matthew Dellavedova']","['Channing Frye', 'Iman Shumpert', 'LeBron James', 'Matthew Dellavedova', 'Richard Jefferson']","['Channing Frye', 'Iman Shumpert', 'Kyrie Irving', 'LeBron James', 'Richard Jefferson']","['Channing Frye', 'J.R. Smith', 'Kyrie Irving', 'LeBron James', 'Richard Jefferson']","['J.R. Smith', 'Kevin Love', 'Kyrie Irving', 'LeBron James', 'Tristan Thompson']","['Iman Shumpert', 'Kevin Love', 'Kyrie Irving', 'LeBron James', 'Matthew Dellavedova']","['Channing Frye', 'Dahntay Jones', 'J.R. Smith', 'Kyrie Irving', 'LeBron James']"
"['Andrew Bogut', 'Draymond Green', 'Harrison Barnes', 'Klay Thompson', 'Stephen Curry']",0.20868055555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Andre Iguodala', 'Draymond Green', 'Harrison Barnes', 'Klay Thompson', 'Stephen Curry']",0.12152777777777778,0.0006944444444444445,0.0,0.0,0.008680555555555556,0.0,0.0,0.0,0.06909722222222223,0.15416666666666667,0.0,0.0
"['Andre Iguodala', 'Draymond Green', 'Harrison Barnes', 'Shaun Livingston', 'Stephen Curry']",0.0,0.04131944444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Andre Iguodala', 'Draymond Green', 'James Michael McAdoo', 'Shaun Livingston', 'Stephen Curry']",0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Andre Iguodala', 'Harrison Barnes', 'James Michael McAdoo', 'Shaun Livingston', 'Stephen Curry']",0.0,0.0,0.0,0.04201388888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Andre Iguodala', 'Draymond Green', 'Harrison Barnes', 'Klay Thompson', 'Shaun Livingston']",0.0,0.0,0.0,0.0,0.0,0.07708333333333334,0.0,0.0,0.003125,0.03229166666666667,0.0,0.0
"['Andre Iguodala', 'Draymond Green', 'James Michael McAdoo', 'Klay Thompson', 'Stephen Curry']",0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.006597222222222222,0.021527777777777778,0.0,0.0,0.0
"['Andre Iguodala', 'Draymond Green', 'Festus Ezeli', 'Klay Thompson', 'Stephen Curry']",0.009722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Festus Ezeli', 'Harrison Barnes', 'Klay Thompson', 'Shaun Livingston', 'Stephen Curry']",0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010763888888888889,0.0,0.0
"['Draymond Green', 'Festus Ezeli', 'Klay Thompson', 'Shaun Livingston', 'Stephen Curry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002777777777777778,0.0,0.0
"['Anderson Varejao', 'Andre Iguodala', 'Draymond Green', 'Shaun Livingston', 'Stephen Curry']",0.0,0.0,0.08402777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Andre Iguodala', 'Harrison Barnes', 'Klay Thompson', 'Marreese Speights', 'Stephen Curry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001736111111111111,0.0
"['Andre Iguodala', 'Harrison Barnes', 'James Michael McAdoo', 'Klay Thompson', 'Shaun Livingston']",0.0,0.0,0.06145833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Andre Iguodala', 'Draymond Green', 'Klay Thompson', 'Shaun Livingston', 'Stephen Curry']",0.00034722222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.002777777777777778
