Team_A,"['J.R. Smith', 'Kyrie Irving', 'LeBron James', 'Richard Jefferson', 'Tristan Thompson']","['J.R. Smith', 'Kevin Love', 'Kyrie Irving', 'LeBron James', 'Richard Jefferson']","['Iman Shumpert', 'J.R. Smith', 'Kevin Love', 'Kyrie Irving', 'LeBron James']","['Iman Shumpert', 'J.R. Smith', 'Kevin Love', 'Kyrie Irving', 'Tristan Thompson']","['Iman Shumpert', 'J.R. Smith', 'Matthew Dellavedova', 'Richard Jefferson', 'Tristan Thompson']","['Channing Frye', 'Iman Shumpert', 'Kevin Love', 'LeBron James', 'Matthew Dellavedova']","['Channing Frye', 'Iman Shumpert', 'LeBron James', 'Matthew Dellavedova', 'Richard Jefferson']","['Channing Frye', 'Iman Shumpert', 'Kyrie Irving', 'LeBron James', 'Richard Jefferson']","['Channing Frye', 'J.R. Smith', 'Kyrie Irving', 'LeBron James', 'Richard Jefferson']","['J.R. Smith', 'Kevin Love', 'Kyrie Irving', 'LeBron James', 'Tristan Thompson']","['Iman Shumpert', 'Kevin Love', 'Kyrie Irving', 'LeBron James', 'Matthew Dellavedova']","['Channing Frye', 'Dahntay Jones', 'J.R. Smith', 'Kyrie Irving', 'LeBron James']"
"['Andrew Bogut', 'Draymond Green', 'Harrison Barnes', 'Klay Thompson', 'Stephen Curry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Andre Iguodala', 'Draymond Green', 'Harrison Barnes', 'Klay Thompson', 'Stephen Curry']",-4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0
"['Andre Iguodala', 'Draymond Green', 'Harrison Barnes', 'Shaun Livingston', 'Stephen Curry']",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Andre Iguodala', 'Draymond Green', 'James Michael McAdoo', 'Shaun Livingston', 'Stephen Curry']",0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Andre Iguodala', 'Harrison Barnes', 'James Michael McAdoo', 'Shaun Livingston', 'Stephen Curry']",0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Andre Iguodala', 'Draymond Green', 'Harrison Barnes', 'Klay Thompson', 'Shaun Livingston']",0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,-1.0,0.0,0.0
"['Andre Iguodala', 'Draymond Green', 'James Michael McAdoo', 'Klay Thompson', 'Stephen Curry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
"['Andre Iguodala', 'Draymond Green', 'Festus Ezeli', 'Klay Thompson', 'Stephen Curry']",-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Festus Ezeli', 'Harrison Barnes', 'Klay Thompson', 'Shaun Livingston', 'Stephen Curry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
"['Draymond Green', 'Festus Ezeli', 'Klay Thompson', 'Shaun Livingston', 'Stephen Curry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"['Anderson Varejao', 'Andre Iguodala', 'Draymond Green', 'Shaun Livingston', 'Stephen Curry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Andre Iguodala', 'Harrison Barnes', 'Klay Thompson', 'Marreese Speights', 'Stephen Curry']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"['Andre Iguodala', 'Harrison Barnes', 'James Michael McAdoo', 'Klay Thompson', 'Shaun Livingston']",0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['Andre Iguodala', 'Draymond Green', 'Klay Thompson', 'Shaun Livingston', 'Stephen Curry']",-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0
